lambda,Cp_beta_0,Ct_beta_0,Cp_beta_3,Ct_beta_3,Cp_beta_6,Ct_beta_6,Cp_beta_10,Ct_beta_10,Cp_beta_15,Ct_beta_15,Cp_beta_20,Ct_beta_20
2.5254237288135597,0.053730764147482825,0.15388784307961823,0.06750161024714019,0.1503416851330374,0.0818948400823246,0.1491719342281025,0.10089025565987875,0.15012098799517815,0.1021466502892229,0.13538361641909447,0.07379084625806975,0.09753665618393867
2.6779661016949152,0.06311487436643964,0.1651971234020456,0.07923924166291614,0.16255734644458064,0.09642270930946005,0.1633150581027137,0.11524292735821941,0.1633899830673149,0.10594125404492218,0.1389300732993968,0.07136956431205936,0.0948954998679164
2.830508474576271,0.07368337818258582,0.1775728354321129,0.09268150743987677,0.17663099366692386,0.11262470898814139,0.17908582335602993,0.12892326645518687,0.17617621761247684,0.10887570623549041,0.14161093968805008,0.06757264358872017,0.09093751791212334
2.983050847457627,0.08557516433765172,0.19121040294355868,0.10787420897575638,0.19249160721510825,0.12990426137596062,0.1959670912867092,0.14111664704381052,0.1878736315367148,0.1112234430789934,0.1437198114902161,0.062494081383223966,0.08577124117713576
3.135593220338983,0.09904402109112066,0.2065770502439656,0.12485684639666284,0.21014771183035882,0.14743515859245776,0.21316525159306027,0.15145751881316885,0.19808524270917596,0.11247273762435593,0.14484420013804472,0.056433418128818164,0.07968951012106522
3.288135593220339,0.11414153918222529,0.22374842400217784,0.1434490772319939,0.22939629855000412,0.16428344744969098,0.22996752107375001,0.15953556585842352,0.20636349461259254,0.1130622172183686,0.14542270041387625,0.048348865880275205,0.07166257608264925
3.440677966101695,0.13083355326473003,0.2426333038772117,0.16288413360050244,0.24960750666132545,0.18057117179253987,0.24637341335043084,0.1661873003707385,0.21349241839795757,0.11237153155908428,0.14501436726910663,0.03822296688374145,0.0616352402228993
3.593220338983051,0.1490645228809901,0.2632221167239584,0.18242636680242963,0.26991517515595914,0.1957653305868731,0.2620365456944768,0.17239952293162789,0.22018913124900977,0.10902672850641207,0.14223191369272245,0.025516548067623792,0.049121710120353
3.745762711864407,0.16884994645983162,0.2854132403024168,0.20166283916659622,0.29027213062839374,0.20971581027191527,0.27685533497353837,0.17790259787419888,0.22635820892271816,0.1036579200135793,0.1373720461949647,0.010955629616317748,0.03497726225859263
3.898305084745763,0.1899003896941807,0.30891296604150753,0.22047126921399257,0.3105286962146152,0.22253637465471837,0.2909118911850868,0.182031319516156,0.23145210906158048,0.09664681081681636,0.1307582950872592,-0.005599739664007642,0.019089858998051556
4.050847457627119,0.21159666165623328,0.3332681996730403,0.2387086676826782,0.3305399958769613,0.23367879864893085,0.30368786453267904,0.1844564410679758,0.23514341970509894,0.08826510829934224,0.12263857099558395,-0.023695982882437874,0.001938070000775731
4.203389830508475,0.2332936409253787,0.35802340176780245,0.2561669975549345,0.3501107842538317,0.24341458546270026,0.31541939117581713,0.18504093919434772,0.23706910657003002,0.07948542378255691,0.11398408429056903,-0.043384346977636414,-0.01643026884908396
4.3559322033898304,0.2550881821616845,0.38323485928232637,0.27241228787216826,0.3688982372263239,0.2518125329904383,0.3261572390366229,0.18424985453811749,0.23750307184491798,0.06896340103031863,0.10358620705943378,-0.06481526537432172,-0.036108937429286114
4.508474576271187,0.2762684149329868,0.4083420434766683,0.28728175916383153,0.38690555771302626,0.2590692789269264,0.3360397143853082,0.18219334418187133,0.23660245764712415,0.057495584352352185,0.09221009483171076,-0.08788261468737096,-0.05696837252037422
4.661016949152542,0.2968485123081805,0.4333199340846794,0.30081780577135253,0.40409937902597204,0.2655408815505207,0.34517405501032017,0.17912936041456767,0.234515762012026,0.0449065672974928,0.07975141268721668,-0.1122781818126525,-0.07866116536499007
4.813559322033898,0.31602608158327317,0.45754601522166816,0.3132893269688687,0.4206439526811646,0.27042571081836714,0.3527421531088531,0.1752765831207702,0.23142364259363438,0.03092697743801603,0.06598817316072562,-0.13790649612091,-0.10096540812310795
4.966101694915254,0.33455056515100057,0.4815870172166323,0.3246687294325811,0.43654072784726056,0.27380256805816444,0.3588769375417239,0.17140826459668163,0.22801475469200266,0.01593805962580682,0.051340465377104016,-0.16479395046817968,-0.12379806105212644
5.118644067796611,0.3512692404611986,0.504536922802897,0.33456341684773894,0.45101702964215995,0.2765757857579232,0.3642732281147188,0.1665735414106515,0.22345787117549748,-0.0003994085127219081,0.03554964559333931,-0.19316984098916734,-0.14745385873583763
